year,county,cause,sex,age_code,N
104,0101,01,1,15,1
104,0101,01,1,17,1
104,0101,01,1,18,3
104,0101,01,1,19,3
104,0101,01,1,20,2
104,0101,01,1,22,2
104,0101,01,1,23,1
104,0101,01,2,20,1
104,0101,01,2,22,1
104,0101,01,2,24,1
104,0101,01,2,25,1
104,0101,02,2,20,1
104,0101,03,1,19,1
104,0101,03,1,20,1
104,0101,03,1,23,1
104,0101,03,2,23,1
104,0101,04,1,17,1
104,0101,04,1,18,1
104,0101,04,1,20,1
104,0101,04,1,21,2
104,0101,05,1,13,1
104,0101,05,1,16,1
104,0101,05,1,17,1
104,0101,05,1,19,3
104,0101,05,1,21,3
104,0101,05,1,22,1
104,0101,05,1,23,2
104,0101,05,1,24,1
104,0101,05,2,14,1
104,0101,05,2,18,1
104,0101,05,2,19,1
104,0101,05,2,21,1
104,0101,05,2,22,2
104,0101,05,2,23,1
104,0101,05,2,24,1
104,0101,06,1,11,1
104,0101,06,1,20,1
104,0101,06,1,22,1
104,0101,06,1,23,1
104,0101,07,1,14,1
104,0101,07,1,15,1
104,0101,07,1,16,3
104,0101,07,1,18,5
104,0101,07,1,19,2
104,0101,07,1,20,6
104,0101,07,1,21,1
104,0101,07,1,22,2
104,0101,07,1,23,4
104,0101,07,1,24,1
104,0101,07,1,26,1
104,0101,07,2,16,1
104,0101,07,2,17,1
104,0101,07,2,18,3
104,0101,07,2,19,3
104,0101,07,2,20,2
104,0101,07,2,21,1
104,0101,07,2,22,5
104,0101,07,2,23,3
104,0101,07,2,24,6
104,0101,08,1,17,4
104,0101,08,1,18,5
104,0101,08,1,19,2
104,0101,08,1,20,7
104,0101,08,1,21,3
104,0101,08,1,23,4
104,0101,08,2,15,1
104,0101,08,2,16,3
104,0101,08,2,18,1
104,0101,08,2,19,2
104,0101,08,2,20,2
104,0101,08,2,21,2
104,0101,08,2,22,3
104,0101,08,2,23,4
104,0101,08,2,24,2
104,0101,08,2,25,1
104,0101,09,1,18,1
104,0101,09,2,19,1
104,0101,10,1,15,1
104,0101,10,1,16,1
104,0101,10,1,18,1
104,0101,10,1,19,4
104,0101,10,1,20,4
104,0101,10,1,21,2
104,0101,10,1,23,1
104,0101,10,2,16,2
104,0101,10,2,18,5
104,0101,10,2,20,1
104,0101,10,2,22,1
104,0101,10,2,23,1
104,0101,13,1,14,2
104,0101,13,1,15,1
104,0101,13,1,18,4
104,0101,13,1,19,3
104,0101,13,1,20,3
104,0101,13,1,21,7
104,0101,13,1,22,12
104,0101,13,1,23,10
104,0101,13,1,24,5
104,0101,13,2,13,1
104,0101,13,2,14,2
104,0101,13,2,16,4
104,0101,13,2,17,1
104,0101,13,2,18,1
104,0101,13,2,19,5
104,0101,13,2,20,4
104,0101,13,2,21,4
104,0101,13,2,22,7
104,0101,13,2,23,3
104,0101,13,2,24,3
104,0101,14,1,17,1
104,0101,14,1,18,1
104,0101,17,1,19,1
104,0101,18,2,22,1
104,0101,19,2,13,2
104,0101,19,2,15,3
104,0101,19,2,16,4
104,0101,19,2,17,2
104,0101,19,2,18,6
104,0101,19,2,20,1
104,0101,19,2,21,1
104,0101,19,2,22,4
104,0101,19,2,23,2
104,0101,19,2,24,1
104,0101,20,2,17,2
104,0101,20,2,22,1
104,0101,21,2,13,1
104,0101,21,2,16,1
104,0101,21,2,17,1
104,0101,21,2,19,1
104,0101,21,2,20,1
104,0101,22,2,10,1
104,0101,22,2,14,1
104,0101,22,2,16,2
104,0101,22,2,19,1
104,0101,22,2,20,1
104,0101,23,1,19,2
104,0101,23,1,20,1
104,0101,23,1,21,2
104,0101,23,1,22,3
104,0101,23,1,23,5
104,0101,23,1,24,6
104,0101,23,1,25,2
104,0101,25,1,17,1
104,0101,25,1,20,2
104,0101,25,1,21,1
104,0101,25,2,16,1
104,0101,25,2,20,1
104,0101,25,2,24,1
104,0101,26,1,19,1
104,0101,26,1,21,2
104,0101,26,1,22,1
104,0101,26,1,23,1
104,0101,26,2,20,1
104,0101,26,2,23,2
104,0101,27,1,19,1
104,0101,27,2,17,1
104,0101,27,2,22,1
104,0101,29,2,18,1
104,0101,31,1,10,1
104,0101,31,1,19,1
104,0101,31,1,20,2
104,0101,31,1,21,2
104,0101,31,1,23,1
104,0101,31,1,24,1
104,0101,31,1,25,1
104,0101,31,2,22,1
104,0101,31,2,25,1
104,0101,32,1,18,1
104,0101,32,1,22,2
104,0101,32,1,24,1
104,0101,32,2,17,1
104,0101,33,1,17,1
104,0101,33,1,18,1
104,0101,33,1,19,2
104,0101,33,1,20,1
104,0101,33,1,23,5
104,0101,33,1,25,1
104,0101,33,2,11,1
104,0101,33,2,16,1
104,0101,33,2,17,1
104,0101,33,2,18,2
104,0101,33,2,19,2
104,0101,33,2,20,3
104,0101,33,2,22,6
104,0101,33,2,23,1
104,0102,01,1,15,2
104,0102,01,1,16,1
104,0102,01,1,17,1
104,0102,01,1,19,2
104,0102,01,1,20,1
104,0102,01,2,16,1
104,0102,01,2,22,1
104,0102,02,1,19,1
104,0102,03,1,12,1
104,0102,03,1,16,1
104,0102,03,1,17,1
104,0102,03,1,18,1
104,0102,03,1,20,1
104,0102,03,1,22,1
104,0102,03,2,16,1
104,0102,04,1,16,1
104,0102,04,1,17,2
104,0102,04,1,18,1
104,0102,04,1,21,2
104,0102,04,1,22,1
104,0102,04,1,24,1
104,0102,04,2,18,1
104,0102,05,1,18,1
104,0102,05,1,19,2
104,0102,05,1,20,1
104,0102,05,1,21,3
104,0102,05,1,22,1
104,0102,05,1,23,5
104,0102,05,1,24,2
104,0102,05,2,17,1
104,0102,05,2,20,2
104,0102,05,2,21,1
104,0102,05,2,22,2
104,0102,05,2,23,3
104,0102,05,2,25,1
104,0102,06,1,16,1
104,0102,06,1,21,1
104,0102,06,2,17,1
104,0102,06,2,18,1
104,0102,06,2,24,1
104,0102,07,1,15,1
104,0102,07,1,16,1
104,0102,07,1,18,4
104,0102,07,1,19,5
104,0102,07,1,20,3
104,0102,07,1,21,1
104,0102,07,1,22,4
104,0102,07,1,23,7
104,0102,07,1,24,4
104,0102,07,1,25,3
104,0102,07,2,15,2
104,0102,07,2,18,3
104,0102,07,2,19,5
104,0102,07,2,20,3
104,0102,07,2,21,3
104,0102,07,2,22,5
104,0102,07,2,23,7
104,0102,07,2,24,5
104,0102,07,2,25,2
104,0102,08,1,15,2
104,0102,08,1,16,3
104,0102,08,1,17,5
104,0102,08,1,18,2
104,0102,08,1,19,6
104,0102,08,1,20,2
104,0102,08,1,21,4
104,0102,08,1,22,8
104,0102,08,1,23,6
104,0102,08,1,24,2
104,0102,08,2,14,1
104,0102,08,2,16,1
104,0102,08,2,17,1
104,0102,08,2,18,5
104,0102,08,2,19,3
104,0102,08,2,20,4
104,0102,08,2,21,6
104,0102,08,2,22,1
104,0102,08,2,23,6
104,0102,08,2,24,5
104,0102,08,2,25,1
104,0102,09,1,18,1
104,0102,09,1,20,1
104,0102,09,1,21,2
104,0102,09,2,21,2
104,0102,09,2,23,1
104,0102,10,1,16,1
104,0102,10,1,17,1
104,0102,10,1,20,2
104,0102,10,1,21,1
104,0102,10,1,22,2
104,0102,10,1,24,1
104,0102,10,2,17,2
104,0102,10,2,18,5
104,0102,10,2,19,3
104,0102,10,2,20,1
104,0102,10,2,21,4
104,0102,10,2,22,4
104,0102,10,2,23,4
104,0102,11,1,22,1
104,0102,12,1,23,1
104,0102,13,1,14,1
104,0102,13,1,15,1
104,0102,13,1,16,1
104,0102,13,1,17,4
104,0102,13,1,18,5
104,0102,13,1,19,12
104,0102,13,1,20,9
104,0102,13,1,21,11
104,0102,13,1,22,5
104,0102,13,1,23,10
104,0102,13,1,24,6
104,0102,13,1,25,1
104,0102,13,2,13,1
104,0102,13,2,14,2
104,0102,13,2,15,1
104,0102,13,2,16,4
104,0102,13,2,17,3
104,0102,13,2,18,11
104,0102,13,2,19,3
104,0102,13,2,20,5
104,0102,13,2,21,10
104,0102,13,2,22,3
104,0102,13,2,23,12
104,0102,13,2,24,3
104,0102,13,2,25,2
104,0102,15,2,16,1
104,0102,17,1,21,1
104,0102,18,1,18,1
104,0102,18,1,21,1
104,0102,18,1,23,1
104,0102,18,1,25,1
104,0102,18,2,17,1
104,0102,18,2,18,1
104,0102,18,2,23,1
104,0102,19,2,11,1
104,0102,19,2,13,1
104,0102,19,2,14,1
104,0102,19,2,15,1
104,0102,19,2,16,3
104,0102,19,2,17,3
104,0102,19,2,18,10
104,0102,19,2,19,5
104,0102,19,2,20,7
104,0102,19,2,21,2
104,0102,19,2,22,1
104,0102,19,2,23,4
104,0102,19,2,24,1
104,0102,20,2,17,1
104,0102,20,2,18,2
104,0102,20,2,20,2
104,0102,20,2,23,2
104,0102,21,2,17,2
104,0102,21,2,18,2
104,0102,21,2,19,1
104,0102,21,2,20,2
104,0102,21,2,21,1
104,0102,21,2,24,1
104,0102,22,2,15,1
104,0102,22,2,16,2
104,0102,22,2,17,2
104,0102,22,2,18,1
104,0102,22,2,22,1
104,0102,22,2,23,1
104,0102,23,1,17,1
104,0102,23,1,20,3
104,0102,23,1,21,2
104,0102,23,1,22,3
104,0102,23,1,23,3
104,0102,23,1,24,1
104,0102,23,1,25,1
104,0102,24,1,19,1
104,0102,25,1,16,1
104,0102,25,1,18,1
104,0102,25,1,20,1
104,0102,25,1,22,1
104,0102,25,1,24,1
104,0102,25,2,15,1
104,0102,25,2,19,1
104,0102,25,2,21,1
104,0102,25,2,24,1
104,0102,26,1,19,1
104,0102,26,1,22,1
104,0102,26,1,23,3
104,0102,26,1,24,2
104,0102,26,1,25,2
104,0102,26,2,21,1
104,0102,26,2,24,1
104,0102,27,1,16,1
104,0102,27,1,18,1
104,0102,27,1,19,2
104,0102,27,1,21,2
104,0102,27,1,22,2
104,0102,27,1,23,1
104,0102,27,2,16,1
104,0102,27,2,20,1
104,0102,29,1,15,1
104,0102,29,2,23,1
104,0102,31,1,15,1
104,0102,31,1,17,1
104,0102,31,1,18,2
104,0102,31,1,20,2
104,0102,31,1,21,4
104,0102,31,1,22,2
104,0102,31,1,23,5
104,0102,31,1,24,3
104,0102,31,2,12,1
104,0102,31,2,17,1
104,0102,31,2,18,4
104,0102,31,2,19,1
104,0102,31,2,21,2
104,0102,31,2,23,1
104,0102,31,2,24,1
104,0102,32,1,16,1
104,0102,32,1,17,1
104,0102,32,1,20,2
104,0102,32,1,21,2
104,0102,32,1,23,2
104,0102,32,1,24,1
104,0102,32,1,25,2
104,0102,32,2,15,1
104,0102,32,2,17,1
104,0102,32,2,19,3
104,0102,32,2,23,1
104,0102,33,1,12,1
104,0102,33,1,18,4
104,0102,33,1,19,1
104,0102,33,1,20,1
104,0102,33,1,21,2
104,0102,33,1,22,5
104,0102,33,1,23,2
104,0102,33,1,24,3
104,0102,33,1,25,1
104,0102,33,2,18,2
104,0102,33,2,19,2
104,0102,33,2,22,4
104,0102,33,2,23,2
104,0102,33,2,24,1
104,0102,33,2,25,1
104,0109,01,1,14,1
104,0109,01,1,15,3
104,0109,01,1,16,1
104,0109,01,1,21,1
104,0109,01,1,22,1
104,0109,01,2,24,1
104,0109,02,2,22,1
104,0109,03,1,14,1
104,0109,03,1,16,1
104,0109,03,1,18,1
104,0109,03,2,17,1
104,0109,03,2,21,1
104,0109,04,1,15,2
104,0109,04,1,16,1
104,0109,04,1,17,3
104,0109,04,1,19,1
104,0109,04,1,20,1
104,0109,04,1,22,2
104,0109,04,1,24,1
104,0109,05,1,16,1
104,0109,05,1,17,1
104,0109,05,1,18,1
104,0109,05,1,19,4
104,0109,05,1,20,1
104,0109,05,1,21,2
104,0109,05,1,22,3
104,0109,05,1,23,2
104,0109,05,1,24,2
104,0109,05,1,25,1
104,0109,05,2,19,1
104,0109,05,2,20,1
104,0109,05,2,22,1
104,0109,05,2,23,1
104,0109,07,1,14,1
104,0109,07,1,15,1
104,0109,07,1,17,1
104,0109,07,1,18,4
104,0109,07,1,19,1
104,0109,07,1,20,3
104,0109,07,1,21,6
104,0109,07,1,22,5
104,0109,07,1,23,3
104,0109,07,2,14,1
104,0109,07,2,17,5
104,0109,07,2,18,7
104,0109,07,2,19,1
104,0109,07,2,20,2
104,0109,07,2,21,1
104,0109,07,2,22,5
104,0109,07,2,23,3
104,0109,07,2,24,1
104,0109,08,1,15,2
104,0109,08,1,16,1
104,0109,08,1,17,3
104,0109,08,1,18,4
104,0109,08,1,19,7
104,0109,08,1,20,4
104,0109,08,1,21,4
104,0109,08,1,22,4
104,0109,08,1,23,1
104,0109,08,1,24,1
104,0109,08,1,25,1
104,0109,08,2,14,1
104,0109,08,2,17,1
104,0109,08,2,18,1
104,0109,08,2,19,1
104,0109,08,2,20,2
104,0109,08,2,21,1
104,0109,08,2,22,2
104,0109,08,2,23,3
104,0109,08,2,24,1
104,0109,09,1,17,1
104,0109,09,1,18,1
104,0109,09,1,19,1
104,0109,09,1,20,1
104,0109,09,2,18,1
104,0109,09,2,22,2
104,0109,10,1,17,1
104,0109,10,1,18,3
104,0109,10,1,19,1
104,0109,10,1,20,4
104,0109,10,1,21,1
104,0109,10,1,23,1
104,0109,10,2,18,1
104,0109,10,2,20,2
104,0109,10,2,21,2
104,0109,10,2,22,2
104,0109,10,2,23,1
104,0109,12,1,17,1
104,0109,13,1,13,1
104,0109,13,1,14,1
104,0109,13,1,15,1
104,0109,13,1,16,1
104,0109,13,1,17,1
104,0109,13,1,18,3
104,0109,13,1,19,6
104,0109,13,1,20,2
104,0109,13,1,21,6
104,0109,13,1,22,2
104,0109,13,1,23,4
104,0109,13,2,16,2
104,0109,13,2,17,2
104,0109,13,2,18,2
104,0109,13,2,21,6
104,0109,13,2,22,6
104,0109,13,2,24,2
104,0109,17,1,22,1
104,0109,17,2,23,1
104,0109,19,2,14,1
104,0109,19,2,15,2
104,0109,19,2,16,3
104,0109,19,2,17,1
104,0109,19,2,18,3
104,0109,19,2,21,1
104,0109,19,2,26,1
104,0109,20,2,17,1
104,0109,20,2,20,1
104,0109,20,2,23,1
104,0109,20,2,24,1
104,0109,22,2,13,1
104,0109,22,2,16,1
104,0109,22,2,17,1
104,0109,22,2,18,2
104,0109,22,2,19,2
104,0109,22,2,21,1
104,0109,23,1,20,1
104,0109,23,1,21,2
104,0109,23,1,22,2
104,0109,23,1,23,3
104,0109,25,1,21,2
104,0109,25,1,22,1
104,0109,25,2,23,1
104,0109,26,1,21,2
104,0109,26,1,24,2
104,0109,26,2,21,2
104,0109,27,1,21,1
104,0109,27,2,10,1
104,0109,27,2,18,1
104,0109,27,2,21,1
104,0109,31,1,09,1
104,0109,31,1,22,1
104,0109,31,1,23,1
104,0109,31,2,15,1
