Location,elderly,young_adult
Alabama,0.14,0.21000000000000002
Alaska,0.08,0.24
Arizona,0.15,0.22
Arkansas,0.15,0.21
California,0.12,0.23
Colorado,0.12,0.23
Connecticut,0.15,0.19
Delaware,0.16,0.2
District of Columbia,0.12,0.32
Florida,0.18,0.2
Georgia,0.12,0.21
Hawaii,0.16,0.21
Idaho,0.13,0.22
Illinois,0.13,0.21
Indiana,0.14,0.21
Iowa,0.15,0.21
Kansas,0.13,0.22
Kentucky,0.14,0.21
Louisiana,0.13,0.22
Maine,0.17,0.18
Maryland,0.13,0.21
Massachusetts,0.14,0.21
Michigan,0.15,0.21000000000000002
Minnesota,0.13,0.21000000000000002
Mississippi,0.13,0.21000000000000002
Missouri,0.15,0.21
Montana,0.16,0.2
Nebraska,0.14,0.21
Nevada,0.13,0.22
New Hampshire,0.15,0.18
New Jersey,0.14,0.19
New Mexico,0.14,0.21
New York,0.14,0.23
North Carolina,0.14,0.2
North Dakota,0.14,0.24
Ohio,0.15,0.2
Oklahoma,0.14,0.21
Oregon,0.15,0.21
Pennsylvania,0.16,0.2
Puerto Rico,0.16,0.21000000000000002
Rhode Island,0.15,0.21000000000000002
South Carolina,0.15,0.2
South Dakota,0.14,0.21
Tennessee,0.14,0.21
Texas,0.11,0.23
United States,0.14,0.21
Utah,0.1,0.25
Vermont,0.16,0.19
Virginia,0.13,0.21
Washington,0.13,0.22
West Virginia,0.17,0.2
Wisconsin,0.14,0.21
Wyoming,0.13,0.22
